iter	Logloss
0	0.6906499023
1	0.6881357422
2	0.6858358154
3	0.6837025146
4	0.6814268799
5	0.679315918
6	0.6773161621
7	0.6753967896
8	0.6736699219
9	0.6720426025
10	0.6702675171
11	0.6684522705
12	0.6666572266
13	0.665100708
14	0.6637640381
15	0.6622913818
16	0.6608589478
17	0.6596716309
18	0.6583152466
19	0.6571202393
20	0.6557106934
21	0.6544752197
22	0.6534949951
23	0.6523394775
24	0.6514342651
25	0.6505646362
26	0.6495209961
27	0.6484333496
28	0.647380188
29	0.6463834229
30	0.6454544067
31	0.644807373
32	0.6439057007
33	0.6430545654
34	0.6421964111
35	0.6413139038
36	0.6404785156
37	0.6398496704
38	0.6390269775
39	0.6384412842
40	0.6378013306
41	0.6371833496
42	0.6365485229
43	0.6357911377
44	0.6351470947
45	0.6346123047
46	0.6340803833
47	0.633493103
48	0.6328632813
49	0.6324783325
50	0.6319696045
51	0.6315800781
52	0.6311212158
53	0.6306303711
54	0.6303557129
55	0.6299321289
56	0.6295510254
57	0.6290523682
58	0.628673584
59	0.6282264404
60	0.6278410645
61	0.6274956665
62	0.627065918
63	0.626630127
64	0.6262057495
65	0.6260135498
66	0.6255761719
67	0.62527948
68	0.6248701172
69	0.6244686279
70	0.6242960205
71	0.6239293213
72	0.6236334229
73	0.6233022461
74	0.6230574951
75	0.6229356689
76	0.6225113525
77	0.6223982544
78	0.6222894287
79	0.6221861572
80	0.6219085693
81	0.6216422729
82	0.6213898926
83	0.6210463257
84	0.6207600708
85	0.620572937
86	0.6201976318
87	0.6198786621
88	0.6194794922
89	0.6192745361
90	0.6190294189
91	0.6187210693
92	0.6184775391
93	0.6183330078
94	0.6181027832
95	0.6177351074
96	0.6175738525
97	0.6173395996
98	0.6172507324
99	0.6169661865
100	0.6167490234
101	0.6164443359
102	0.6163184814
103	0.6159893799
104	0.6156304932
105	0.6153616943
106	0.6152995605
107	0.6150570068
108	0.6149145508
109	0.6146749878
110	0.6143146973
111	0.6140480957
112	0.6137782593
113	0.613456543
114	0.6131702881
115	0.6129280396
116	0.6126661987
117	0.6125184937
118	0.6123182983
119	0.6121455078
120	0.611895874
121	0.6116630859
122	0.6114522095
123	0.6112696533
124	0.6110147095
125	0.6108138428
126	0.6105703125
127	0.6103745117
128	0.6101696777
129	0.6099736328
130	0.6097272339
131	0.6095117187
132	0.6092490234
133	0.6089212036
134	0.6087940674
135	0.6085692749
136	0.6084014893
137	0.6082086792
138	0.607986145
139	0.6077653809
140	0.6075673828
141	0.607385376
142	0.6071415405
143	0.6068847656
144	0.6066724243
145	0.6064567261
146	0.6062764893
147	0.6060422974
148	0.6058391724
149	0.60565625
150	0.6055018311
151	0.6053359375
152	0.605241333
153	0.6050389404
154	0.6047730713
155	0.6046209717
156	0.6044942627
157	0.604210144
158	0.6040198975
159	0.6038083496
160	0.6036055908
161	0.6034264526
162	0.6030635986
163	0.6028916016
164	0.6026825562
165	0.6025227051
166	0.6022827759
167	0.6020634766
168	0.601880249
169	0.6016750488
170	0.6014206543
171	0.6012359619
172	0.6011098633
173	0.6008972168
174	0.6006490479
175	0.600454834
176	0.6002824707
177	0.600036499
178	0.5999216919
179	0.5997232056
180	0.5995380249
181	0.5994501343
182	0.5992645264
183	0.5991228027
184	0.5989892578
185	0.5988358154
186	0.5986490479
187	0.5984660645
188	0.5982816162
189	0.5980332031
190	0.5978286743
191	0.5977400513
192	0.5975742798
193	0.5974680786
194	0.5972646484
195	0.5970628662
196	0.5969419556
197	0.5967352295
198	0.5966495972
199	0.5964700928
200	0.5963029785
201	0.5961229248
202	0.5958781738
203	0.5957047729
204	0.5957044067
205	0.5955404053
206	0.5953579102
207	0.5951617432
208	0.5950259399
209	0.5949048462
210	0.594880249
211	0.5947434692
212	0.5946227417
213	0.5945026245
214	0.5943514404
215	0.594315979
216	0.5941890869
217	0.5940651245
218	0.5939647827
219	0.5938591309
220	0.5936947632
221	0.5934379883
222	0.5934294434
223	0.5933048706
224	0.593164917
225	0.5929176025
226	0.5927420654
227	0.5925213623
228	0.5925213623
229	0.5923681641
230	0.5922873535
231	0.5922238159
232	0.5921222534
233	0.5919556885
234	0.5917658691
235	0.5915783691
236	0.5914237671
237	0.5912711792
238	0.5911427612
239	0.5911160889
240	0.5910193481
241	0.5907897339
242	0.5905866089
243	0.5903924561
244	0.5903062134
245	0.5901556396
246	0.5899825439
247	0.5898224487
248	0.5897144165
249	0.5895743408
250	0.5894182129
251	0.5892545166
252	0.5890396729
253	0.5888613281
254	0.5887406006
255	0.5886025391
256	0.5884595947
257	0.5883227539
258	0.5881915283
259	0.5880136108
260	0.5878308716
261	0.5877156372
262	0.5875872192
263	0.5874628906
264	0.5873272705
265	0.5871541748
266	0.5869606934
267	0.5868755493
268	0.5866690674
269	0.586461792
270	0.5863328247
271	0.586281189
272	0.5861159668
273	0.5860097046
274	0.5858982544
275	0.5856688232
276	0.5855466309
277	0.5853825073
278	0.585289978
279	0.5851498413
280	0.5849780273
281	0.584867981
282	0.5846553955
283	0.5845797729
284	0.5845124512
285	0.584366333
286	0.5841745605
287	0.5840032959
288	0.5838726807
289	0.583657959
290	0.5835182495
291	0.5833828125
292	0.5832541504
293	0.5831280518
294	0.5830314941
295	0.5828683472
296	0.5827730713
297	0.5826436768
298	0.5824345093
299	0.5823126831
300	0.5821435547
301	0.5820117188
302	0.5819068604
303	0.5817595825
304	0.5816518555
305	0.58147052
306	0.5814431152
307	0.5813203125
308	0.5812391357
309	0.5810940552
310	0.5809178467
311	0.5807624512
312	0.5806450806
313	0.5804885254
314	0.5803615112
315	0.5802727051
316	0.5802286987
317	0.5800360718
318	0.5798914795
319	0.5797865601
320	0.5796588135
321	0.5794710083
322	0.5793171997
323	0.5792009277
324	0.5790209961
325	0.5790018311
326	0.578855835
327	0.5787284546
328	0.5785614014
329	0.5784729004
330	0.5783876343
331	0.5781931152
332	0.5781351318
333	0.5780098267
334	0.57784021
335	0.5777086182
336	0.5775626221
337	0.5773997803
338	0.5772728271
339	0.5770817871
340	0.5769077759
341	0.5768465576
342	0.5768295898
343	0.5766547852
344	0.5764901123
345	0.5763613281
346	0.5762697754
347	0.5762014771
348	0.5760576782
349	0.575897644
350	0.5757205811
351	0.5755841675
352	0.5754263306
353	0.575263916
354	0.5750688477
355	0.5749592285
356	0.5747529907
357	0.5746611328
358	0.5744909058
359	0.5743040771
360	0.5741855469
361	0.5740776367
362	0.5739398804
363	0.5738241577
364	0.5736981201
365	0.5736628418
366	0.5735791626
367	0.5733250732
368	0.5731990967
369	0.5731146851
370	0.5730341797
371	0.5729471436
372	0.572777771
373	0.5726812744
374	0.5725516968
375	0.5724156494
376	0.5722984009
377	0.5721696777
378	0.5720401611
379	0.5719683228
380	0.5717888794
381	0.5716663818
382	0.5715358887
383	0.5714307861
384	0.5713710937
385	0.5712211914
386	0.5711018066
387	0.5709364014
388	0.5708262939
389	0.5707363892
390	0.5705693359
391	0.5705039673
392	0.5704191284
393	0.5703065186
394	0.5701682129
395	0.5700623169
396	0.5698557739
397	0.5696921387
398	0.5695657959
399	0.569404541
400	0.5692984619
401	0.5691755371
402	0.569175415
403	0.5691060181
404	0.5689798584
405	0.5688682251
406	0.5687574463
407	0.5686690674
408	0.5686051636
409	0.5684979248
410	0.5684975586
411	0.5683345337
412	0.5682512207
413	0.5681066895
414	0.5679509888
415	0.5677915649
416	0.5676619873
417	0.5675158691
418	0.5673925781
419	0.5672572021
420	0.5671069946
421	0.5669940186
422	0.5668374634
423	0.5667648926
424	0.5666289062
425	0.5664504395
426	0.5663582764
427	0.5662301025
428	0.5660650635
429	0.5659370728
430	0.5657906494
431	0.5656141357
432	0.5654492187
433	0.5653747559
434	0.5651925659
435	0.5650612793
436	0.5649619751
437	0.5648566895
438	0.5647677002
439	0.5646342163
440	0.5644492187
441	0.5643307495
442	0.5641495361
443	0.5640269775
444	0.5638618164
445	0.5637873535
446	0.5636906128
447	0.5635899658
448	0.5634952393
449	0.5633095703
450	0.5632197876
451	0.5631044312
452	0.5630513306
453	0.5629251709
454	0.5627199097
455	0.5625557861
456	0.5624469604
457	0.5623345947
458	0.5621627197
459	0.5620095215
460	0.561927002
461	0.5617943115
462	0.5617098389
463	0.5615462646
464	0.5614263916
465	0.5613118896
466	0.5610998535
467	0.5609970703
468	0.5608328857
469	0.5606048584
470	0.5604975586
471	0.560359314
472	0.5602097168
473	0.5600074463
474	0.5598620605
475	0.5597023315
476	0.5595859375
477	0.5593944092
478	0.5593035889
479	0.5591279297
480	0.5590202026
481	0.5588822021
482	0.5586834106
483	0.5585518799
484	0.5584329224
485	0.5583168945
486	0.5580802612
487	0.5579615479
488	0.5578493042
489	0.5577244263
490	0.5575716553
491	0.5574522705
492	0.5572785645
493	0.55715979
494	0.5570593262
495	0.5569329834
496	0.5567793579
497	0.5566651611
498	0.5564804688
499	0.5563557129
500	0.5562159424
501	0.556050415
502	0.5559263306
503	0.5557822266
504	0.5556702881
505	0.5555584717
506	0.5553907471
507	0.5552958984
508	0.555138916
509	0.5550147095
510	0.5548283691
511	0.5547370605
512	0.5546151733
513	0.5544605713
514	0.5542634277
515	0.5541219482
516	0.5539647217
517	0.5537843018
518	0.5536898193
519	0.5535386963
520	0.5533642578
521	0.5532755737
522	0.5531412964
523	0.5530637207
524	0.5529518433
525	0.5527831421
526	0.5526137085
527	0.5524729614
528	0.5523094482
529	0.5521663818
530	0.552076355
531	0.5519544678
532	0.5518164062
533	0.5516794434
534	0.5515744629
535	0.5514083252
536	0.5513265381
537	0.5512149658
538	0.5510617676
539	0.5508856201
540	0.5507739258
541	0.5507095947
542	0.5505318604
